Epoch 01/20, Loss: 0.99646916, Time: 110.58 sec.
Epoch 02/20, Loss: 0.40069676, Time: 102.19 sec.
Epoch 03/20, Loss: 0.26063069, Time: 102.25 sec.
Epoch 04/20, Loss: 0.20220234, Time: 102.37 sec.
Epoch 05/20, Loss: 0.16820844, Time: 105.99 sec.
Epoch 06/20, Loss: 0.13977774, Time: 103.61 sec.
Epoch 07/20, Loss: 0.12808885, Time: 107.43 sec.
Epoch 08/20, Loss: 0.12243889, Time: 106.60 sec.
Epoch 09/20, Loss: 0.11640223, Time: 103.75 sec.
Epoch 10/20, Loss: 0.08940401, Time: 103.19 sec.
Epoch 11/20, Loss: 0.09033304, Time: 105.74 sec.
Epoch 12/20, Loss: 0.08073746, Time: 104.25 sec.
Epoch 13/20, Loss: 0.06197249, Time: 104.92 sec.
Epoch 14/20, Loss: 0.07658785, Time: 103.94 sec.
Epoch 15/20, Loss: 0.07565209, Time: 100.67 sec.
Epoch 16/20, Loss: 0.05236898, Time: 100.69 sec.
Epoch 17/20, Loss: 0.06011320, Time: 100.48 sec.
Epoch 18/20, Loss: 0.05640574, Time: 100.82 sec.
Epoch 19/20, Loss: 0.04241974, Time: 100.96 sec.
Epoch 20/20, Loss: 0.07522084, Time: 92.12 sec.
