Epoch 01/50, Train Loss: 0.2233, Val Loss: 0.1467, Val IoU: 0.4651, Time: 565.52 sec.
Epoch 02/50, Train Loss: 0.1098, Val Loss: 0.1093, Val IoU: 0.5485, Time: 536.75 sec.
Epoch 03/50, Train Loss: 0.0920, Val Loss: 0.0994, Val IoU: 0.5321, Time: 519.37 sec.
Epoch 04/50, Train Loss: 0.0851, Val Loss: 0.0932, Val IoU: 0.5507, Time: 517.37 sec.
Epoch 05/50, Train Loss: 0.0811, Val Loss: 0.0886, Val IoU: 0.5793, Time: 520.48 sec.
Epoch 06/50, Train Loss: 0.0790, Val Loss: 0.0900, Val IoU: 0.5707, Time: 523.05 sec.
Epoch 07/50, Train Loss: 0.0765, Val Loss: 0.0849, Val IoU: 0.5968, Time: 522.67 sec.
Epoch 08/50, Train Loss: 0.0758, Val Loss: 0.0857, Val IoU: 0.5996, Time: 525.23 sec.
Epoch 09/50, Train Loss: 0.0745, Val Loss: 0.0825, Val IoU: 0.6132, Time: 530.41 sec.
Epoch 10/50, Train Loss: 0.0725, Val Loss: 0.0812, Val IoU: 0.6047, Time: 520.63 sec.
Epoch 11/50, Train Loss: 0.0721, Val Loss: 0.0843, Val IoU: 0.5883, Time: 522.72 sec.
Epoch 12/50, Train Loss: 0.0714, Val Loss: 0.0829, Val IoU: 0.5900, Time: 521.32 sec.
Epoch 13/50, Train Loss: 0.0697, Val Loss: 0.0812, Val IoU: 0.6076, Time: 517.79 sec.
Epoch 14/50, Train Loss: 0.0680, Val Loss: 0.0837, Val IoU: 0.5988, Time: 519.27 sec.
Epoch 15/50, Train Loss: 0.0687, Val Loss: 0.0836, Val IoU: 0.5999, Time: 522.51 sec.
Epoch 16/50, Train Loss: 0.0682, Val Loss: 0.0830, Val IoU: 0.6023, Time: 539.98 sec.
Epoch 17/50, Train Loss: 0.0664, Val Loss: 0.0865, Val IoU: 0.5735, Time: 521.79 sec.
Epoch 18/50, Train Loss: 0.0657, Val Loss: 0.0836, Val IoU: 0.6007, Time: 520.96 sec.
Epoch 19/50, Train Loss: 0.0647, Val Loss: 0.0847, Val IoU: 0.5973, Time: 520.70 sec.
Epoch 20/50, Train Loss: 0.0639, Val Loss: 0.0859, Val IoU: 0.5939, Time: 520.80 sec.
Epoch 21/50, Train Loss: 0.0633, Val Loss: 0.0823, Val IoU: 0.6044, Time: 520.42 sec.
